Index;Route_Instance;Supernet;Subnet;ASN;AS_Path;Destination_Interface;Local;Router
141;inet.0;207.23.0.0/16;207.23.88.0/23;271;271;lt-1/1/0.70;No;cr1.mgmt.kmlp8
142;inet.0;207.23.0.0/16;207.23.92.0/23;271;271;lt-0/1/0.40;No;cr1.mgmt.kmlp8
143;inet.0;207.23.0.0/16;207.23.255.16/29;271;271;lt-0/1/0.40;No;cr1.mgmt.kmlp8
144;inet.0;207.23.0.0/16;207.23.255.28/31;271;271;lt-0/1/0.40;No;cr1.mgmt.kmlp8
145;inet.0;207.23.0.0/16;207.23.255.28/32;271;271;lt-0/1/0.40;Yes;cr1.mgmt.kmlp8
146;inet.0;207.23.0.0/16;207.23.255.30/31;271;271;lt-0/1/0.40;No;cr1.mgmt.kmlp8
147;inet.0;207.23.0.0/16;207.23.255.32/28;271;271;lt-0/1/0.40;No;cr1.mgmt.kmlp8
148;inet.0;207.23.0.0/16;207.23.255.48/28;271;271;lt-0/1/0.40;No;cr1.mgmt.kmlp8
149;inet.0;207.23.0.0/16;207.23.255.64/26;271;271;lt-0/1/0.40;No;cr1.mgmt.kmlp8
150;inet.0;207.23.0.0/16;207.23.255.130/31;271;271;lt-1/0/0.60;No;cr1.mgmt.kmlp8
151;inet.0;207.23.0.0/16;207.23.255.130/32;271;271;lt-1/0/0.60;Yes;cr1.mgmt.kmlp8
152;inet.0;207.23.0.0/16;207.23.255.138/31;271;271;lt-1/0/0.66;No;cr1.mgmt.kmlp8
153;inet.0;207.23.0.0/16;207.23.255.138/32;271;271;lt-1/0/0.66;Yes;cr1.mgmt.kmlp8
154;inet.0;207.23.0.0/16;207.23.255.140/30;271;271;lt-0/1/0.40;No;cr1.mgmt.kmlp8
155;inet.0;207.23.0.0/16;207.23.255.144/30;271;271;lt-0/1/0.40;No;cr1.mgmt.kmlp8
156;inet.0;207.23.0.0/16;207.23.255.148/30;271;271;lt-0/1/0.40;No;cr1.mgmt.kmlp8
